,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
3735,2020-073AB,Starlink-1794,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3736,2020-073AC,Starlink-1795,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3737,2020-073AE,Starlink-1797,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3738,2020-074AS,Starlink-1798,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3739,2020-073AF,Starlink-1799,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3740,2020-073AG,Starlink-1800,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3741,2020-073AH,Starlink-1801,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3742,2020-073AJ,Starlink-1802,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3743,2020-073AK,Starlink-1803,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3744,2020-073AL,Starlink-1804,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3745,2020-073AM,Starlink-1805,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3746,2021-009B,Starlink-1806,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3747,2020-073AN,Starlink-1807,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3748,2020-073AP,Starlink-1808,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3749,2020-073AR,Starlink-1810,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3750,2020-073AS,Starlink-1811,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3751,2020-088E,Starlink-1812,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3752,2020-073AT,Starlink-1813,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3753,2020-073AU,Starlink-1814,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3754,2020-073AV,Starlink-1815,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3755,2020-073AW,Starlink-1816,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3756,2020-073AX,Starlink-1817,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3757,2020-073AY,Starlink-1818,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3758,2020-073AZ,Starlink-1820,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3759,2020-073BA,Starlink-1821,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3760,2020-073BB,Starlink-1822,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3761,2020-073BE,Starlink-1825,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3762,2020-073BF,Starlink-1826,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3763,2020-073BH,Starlink-1828,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3764,2020-073BJ,Starlink-1829,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3765,2020-073BK,Starlink-1830,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3766,2020-074AT,Starlink-1832,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3767,2020-074W,Starlink-1833,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3768,2020-074AU,Starlink-1834,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3769,2020-074AV,Starlink-1835,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3770,2020-088G,Starlink-1837,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3771,2020-088H,Starlink-1838,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3772,2020-088J,Starlink-1839,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3773,2020-088L,Starlink-1842,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3774,2020-088M,Starlink-1843,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3775,2020-088N,Starlink-1844,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3776,2020-088P,Starlink-1845,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3777,2020-088Q,Starlink-1846,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3778,2020-074B,Starlink-1848,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3779,2020-088R,Starlink-1849,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3780,2020-088S,Starlink-1850,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3781,2020-074AW,Starlink-1851,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3782,2020-088T,Starlink-1852,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3783,2020-088V,Starlink-1854,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3784,2020-088X,Starlink-1856,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3785,2020-088Y,Starlink-1857,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3786,2020-088AB,Starlink-1860,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3787,2020-088AC,Starlink-1861,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3788,2020-088AD,Starlink-1862,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3789,2020-088AE,Starlink-1863,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3790,2020-088AF,Starlink-1864,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3791,2020-074C,Starlink-1865,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3792,2020-088AG,Starlink-1866,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3793,2020-088AH,Starlink-1867,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3794,2020-088AJ,Starlink-1868,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3795,2020-088AK,Starlink-1869,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3796,2020-088AM,Starlink-1871,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3797,2020-088AN,Starlink-1873,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3798,2020-088AR,Starlink-1876,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3799,2020-088AS,Starlink-1877,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3800,2020-088AT,Starlink-1878,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3801,2020-088AU,Starlink-1879,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3802,2020-088AV,Starlink-1880,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3803,2020-074AX,Starlink-1882,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3804,2020-074AY,Starlink-1883,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3805,2020-088AX,Starlink-1884,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3806,2020-088BA,Starlink-1887,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3807,2020-088BB,Starlink-1888,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3808,2020-088BD,Starlink-1890,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3809,2020-088BE,Starlink-1891,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3810,2020-074E,Starlink-1892,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3811,2020-074AZ,Starlink-1893,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3812,2020-074F,Starlink-1894,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3813,2020-088BF,Starlink-1895,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3814,2020-074X,Starlink-1896,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3815,2020-074BA,Starlink-1899,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3816,2020-074AB,Starlink-1903,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3817,2021-038AN,Starlink-1904,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,5
3818,2020-074H,Starlink-1905,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3819,2020-074AC,Starlink-1906,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3820,2020-088BH,Starlink-1907,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3821,2020-074J,Starlink-1908,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3822,2021-009C,Starlink-1909,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3823,2020-074K,Starlink-1910,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3824,2020-074L,Starlink-1911,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3825,2020-088BJ,Starlink-1912,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3826,2020-088BK,Starlink-1913,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3827,2020-074AD,Starlink-1916,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3828,2020-074AE,Starlink-1917,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3829,2020-074AF,Starlink-1918,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3830,2020-074N,Starlink-1920,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3831,2020-074P,Starlink-1921,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3832,2020-074Q,Starlink-1922,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3833,2020-074R,Starlink-1923,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3834,2020-074S,Starlink-1924,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3835,2020-074T,Starlink-1925,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3836,2020-074U,Starlink-1926,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3837,2020-088BM,Starlink-1927,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,11
3838,2020-074V,Starlink-1928,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3839,2020-074BB,Starlink-1929,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3840,2020-074BC,Starlink-1930,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3841,2020-074BD,Starlink-1931,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3842,2020-074AH,Starlink-1932,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3843,2020-074BE,Starlink-1933,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3844,2020-074BF,Starlink-1934,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3845,2020-074AK,Starlink-1936,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3846,2021-009D,Starlink-1938,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3847,2021-009E,Starlink-1940,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3848,2020-074BG,Starlink-1941,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3849,2020-074BH,Starlink-1942,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3850,2020-074BJ,Starlink-1943,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3851,2020-074BK,Starlink-1944,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3852,2020-074BM,Starlink-1948,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2020,10
3853,2021-009G,Starlink-1953,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3854,2021-009H,Starlink-1954,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3855,2021-009J,Starlink-1955,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3856,2021-009K,Starlink-1956,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3857,2021-009L,Starlink-1957,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3858,2021-009M,Starlink-1958,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3859,2021-009N,Starlink-1959,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3860,2021-009P,Starlink-1960,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3861,2021-009Q,Starlink-1961,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3862,2021-009R,Starlink-1962,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3863,2021-009S,Starlink-1963,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3864,2021-009T,Starlink-1964,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3865,2021-009U,Starlink-1965,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3866,2021-009V,Starlink-1966,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3867,2021-009W,Starlink-1967,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3868,2021-009Y,Starlink-1969,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3869,2021-009Z,Starlink-1970,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
3870,2021-009AA,Starlink-1971,USA,SpaceX,USA,SpaceX,Commercial,Communications,nan,LEO,Non-Polar Inclined,95.6,4.0,260.0,nan,nan,Cape Canaveral,Falcon 9,2021,2
