,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
52,2022-033D,Alfa Crux,Brazil,University of Brasilia,Brazil,University of Brasilia,Civil,Technology Development,nan,LEO,Sun-Synchronous,95.0,4.0,1.0,nan,nan,Cape Canaveral,Falcon 9,2022,4
53,2013-072F,ALiCE  (AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,USA,US Air Force Institute of Technology,Military,Technology Development,nan,LEO,Polar,98.0,4.0,5.0,nan,nan,Vandenberg AFB,Atlas 5,2013,12
54,2016-059C,Alsat-1B,Algeria,Algerian Space Agency (ASAL),UK,Surrey Satellite Technology Ltd.,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,98.4,5.0,103.0,nan,nan,Satish Dhawan Space Centre,PSLV,2016,9
55,2016-059G,Alsat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,UK,Surrey Satellite Technology Ltd.,Government,Technology Development,nan,LEO,Sun-Synchronous,98.3,4.0,10.0,nan,nan,Satish Dhawan Space Centre,PSLV,2016,9
56,2010-035D,Alsat-2A (Algeria Satellite 2A),Algeria,Algerian Space Agency (ASAL),Multinational,EADS Astrium,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,98.2,5.0,130.0,nan,nan,Satish Dhawan Space Centre,PSLV,2010,7
57,2016-059D,Alsat-2B,Algeria,Algerian Space Agency (ASAL),Multinational,Airbus Defense and Space,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,97.7,5.0,117.0,nan,nan,Satish Dhawan Space Centre,PSLV,2016,9
58,2009-054A,Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Multinational,EADS Astrium,Commercial,Communications,Optical Imaging,GEO,nan,1436.08,15.0,5465.0,nan,15300,Guiana Space Center,Ariane 5,2009,10
59,2013-006A,Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),USA,Space Systems/Loral,Commercial,Communications,nan,GEO,nan,1436.05,15.0,6265.0,2778,14000,Guiana Space Center,Ariane 5 ECA,2013,2
60,2014-011A,Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),USA,Orbital Sciences Corp.,Commercial,Communications,nan,GEO,nan,1436.24,15.0,2938.0,nan,nan,Guiana Space Center,Ariane 5 ECA,2014,3
61,2017-053A,Amazonas-5,Spain,Hispamar (subsidiary of Hispasat - Spain),USA,Space Systems/Loral,Commercial,Communications,nan,GEO,nan,1436.11,15.0,5900.0,nan,nan,Baikonur Cosmodrome,Proton,2017,9
62,2023-017A,Amazonas-Nexus,Spain,Hispamar (subsidiary of Hispasat - Spain),Multinational,Thales Alenia Space,Commercial,Communications,nan,GEO,nan,1436.15,13.0,4000.0,4000,nan,Cape Canaveral,Falcon 9,2023,2
63,2021-015A,Amazonia-1 (SSR-1),Brazil,National Institute for Space Research (INPE),Brazil,National Institute for Space Research (INPE),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,99.9,4.0,637.0,nan,nan,Satish Dhawan Space Centre,PSLV,2021,2
64,2004-017A,"AMC-11 (Americom-11, GE 11)",USA,SES S.A.,USA,Lockheed Martin,Commercial,Communications,nan,GEO,nan,1436.07,15.0,2340.0,2316,"6,500 (EOL)",Cape Canaveral,Atlas 2AS,2004,5
65,2004-041A,AMC-15 (Americom-15),USA,SES S.A.,USA,Lockheed Martin,Commercial,Communications,nan,GEO,nan,1436.08,15.0,4200.0,nan,nan,Baikonur Cosmodrome,Proton M,2004,10
66,2006-054B,AMC-18 (Americom 18),USA,SES S.A.,USA,Lockheed Martin Missiles & Space,Commercial,Communications,nan,GEO,nan,1436.1,15.0,2081.0,918,nan,Guiana Space Center,Ariane 5,2006,12
67,2008-038B,AMC-21 (Americom 21),USA,SES S.A.,USA,Orbital Sciences Corp.,Commercial,Communications,nan,GEO,nan,1436.1,15.0,2500.0,nan,5000,Guiana Space Center,Ariane 5 ECA,2008,8
68,2000-067A,"AMC-6 (Americom-6, GE-6)",USA,SES S.A.,USA,Lockheed Martin Commercial Space Systems,Commercial,Communications,nan,GEO,nan,1436.12,15.0,3901.0,2500,nan,Baikonur Cosmodrome,Proton K,2000,10
69,2019-038J,AmGU-1 (AmurSat-1),Russia,Moscow State University,Russia,Moscow State University,Civil,Space Science,nan,LEO,Sun-Synchronous,95.2,4.0,4.0,nan,nan,Vostochny Cosmodrome,Soyuz-2.1b,2019,7
