,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
1773,2014-026A,"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",United States of America,DoD/US Air Force,United States of America,Boeing Satellite Systems,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.92,10.0,1630.0,,1136,Cape Canaveral,Delta 4,2014,5,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1774,2014-045A,"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",United States of America,DoD/US Air Force,United States of America,Boeing Satellite Systems,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,729.0,10.0,1630.0,,1136,Cape Canaveral,Atlas 5,2014,8,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1775,2014-068A,"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",United States of America,DoD/US Air Force,United States of America,Boeing Satellite Systems,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.02,10.0,1630.0,,1136,Cape Canaveral,Atlas 5,2014,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1776,2015-013A,"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",United States of America,DoD/US Air Force,United States of America,Boeing Satellite Systems,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,729.14,12.0,1630.0,,1136,Cape Canaveral,Delta 4M,2015,3,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1777,2011-036A,"Navstar GPS IIF-USA 2 (Navstar SVN 63, PRN 01, USA 23)",United States of America,DoD/US Air Force,United States of America,Boeing Satellite Systems,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,729.18,12.0,1630.0,,,Cape Canaveral,Delta 4,2011,7,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1778,2018-109A,"Navstar GPS III-1 (Navstar SVN 74, PRN 04, USA 289)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.88,15.0,2300.0,,,Cape Canaveral,Falcon 9,2018,12,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1779,2019-056A,"Navstar GPS III-2 (Navstar SVN 75, PRN 18, USA 293)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.01,15.0,2300.0,,1136,Cape Canaveral,Delta 4,2019,8,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1780,2020-041A,"Navstar GPS III-3 (Navstar SVN 76, USA 304)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.9,15.0,2300.0,,1136,Cape Canaveral,Falcon 9,2020,6,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1781,2020-078A,"Navstar GPS III-4 (Navstar SVN 77, PRN 14, USA 309)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.9,15.0,2300.0,,1136,Cape Canaveral,Falcon 9,2020,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1782,2021-054A,"Navstar GPS III-5 (Navstar SVN 78, PRN 11, USA 319)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin Missiles & Space,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.9,15.0,2300.0,,1136,Cape Canaveral,Falcon 9,2021,6,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1784,1997-035A,"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.09,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,1997,7,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1785,1999-055A,"Navstar GPS IIR-3 (Navstar SVN 46, PRN 1, USA 145)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,717.97,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,1999,10,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1786,2000-025A,"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,718.03,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2000,5,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1787,2000-040A,"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,722.98,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2000,7,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
1788,2000-071A,"Navstar GPS IIR-6 (Navstar SVN 41, PRN 22, USA 154)",United States of America,DoD/US Air Force,United States of America,Lockheed Martin,Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,724.28,10.0,2217.0,980,1136,Cape Canaveral,Delta 2,2000,11,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
